Név;Neme;Részleg;Belépés;Bér
Beri Dániel;férfi;beszerzés;1979;222943
Csavar Pista;férfi;pénzügy;1995;234074
Lakatos Pál;férfi;beszerzés;1986;159538
Devon Mihály;férfi;asztalosműhely;2007;161533
Él Ilona;nő;beszerzés;1982;299865
Gábor Gizella;nő;értékesítés;2003;181108
Kálvin Ödömér;férfi;lakatosműhely;1976;321959
Kolompár Gáspár;férfi;asztalosműhely;2003;253794
Sörös Sándor;férfi;lakatosműhely;2012;202216
Léc Elek;férfi;asztalosműhely;2001;220506
Vonal Deodát;férfi;beszerzés;1997;187753
Sipos Gábor;férfi;karbantartás;1982;185714
Szigeti Sándor;férfi;karbantartás;1971;315764
Volga Olga;nő;szerelőműhely;2009;197090
Nagy Zoltán;nő;személyzeti;1979;167928
Körte Vilmos;férfi;szerelőműhely;2016;256051
